season,home_team_score,visitor_team_score,home_team.id,visitor_team.id,home_team_wins,visitor_team_wins
2018,101,104,5,6,0,1
2018,116,102,14,24,1,0
2018,103,98,11,22,1,0
2018,120,123,7,28,0,1
2018,118,123,13,1,0,1
2018,101,92,4,20,1,0
2018,100,132,12,10,0,1
2018,112,104,2,3,1,0
2018,92,95,15,8,0,1
2018,126,124,27,24,1,0
2018,116,121,11,19,0,1
2018,122,117,3,5,1,0
2018,105,121,14,23,0,1
2018,116,113,6,30,1,0
2018,105,115,9,17,0,1
2018,117,126,22,21,0,1
2018,132,105,25,29,1,0
2018,99,105,19,8,0,1
2018,99,97,18,15,1,0
2018,135,113,26,1,1,0
2018,126,94,2,4,1,0
2018,89,105,16,5,0,1
2018,90,114,20,7,0,1
2018,107,89,30,12,1,0
2018,93,89,9,7,1,0
2018,107,100,22,12,1,0
2018,92,105,28,17,0,1
2018,117,114,27,3,1,0
2018,104,113,10,23,0,1
2018,120,123,13,14,0,1
2018,136,122,8,11,1,0
2018,128,112,29,1,1,0
2018,100,92,4,15,1,0
2018,99,113,20,2,0,1
2018,102,118,16,21,0,1
2018,101,111,9,13,0,1
2018,98,125,29,11,0,1
2018,115,101,10,14,1,0
2018,106,107,18,8,0,1
2018,113,108,27,19,1,0
2018,115,108,26,23,1,0
2018,98,111,6,7,0,1
2018,88,95,16,12,0,1
2018,125,118,4,5,1,0
2018,112,118,24,1,0,1
2018,115,131,30,17,0,1
2018,102,89,22,3,1,0
2018,84,96,20,15,0,1
2018,134,129,2,21,1,0
2018,121,103,28,13,1,0
2018,129,103,9,8,1,0
2018,129,137,30,1,0,1
2018,94,113,3,17,0,1
2018,107,109,19,12,0,1
2018,110,118,24,11,0,1
2018,127,112,26,27,1,0
2018,108,106,15,18,1,0
2018,108,118,25,16,0,1
2018,107,119,23,28,0,1
2018,132,122,21,22,1,0
2018,96,103,6,2,0,1
2018,136,94,12,14,1,0
2018,115,117,4,13,0,1
2018,92,105,20,9,0,1
2018,135,130,3,8,1,0
2018,120,125,5,19,0,1
2018,148,129,17,30,1,0
2018,99,93,7,4,1,0
2018,116,88,29,24,1,0
2018,101,127,26,11,0,1
2018,141,102,10,27,1,0
2018,127,118,25,27,1,0
2018,117,95,21,15,1,0
2018,128,129,2,14,0,1
2018,122,112,22,18,1,0
2018,116,92,12,13,1,0
2018,101,119,1,28,0,1
2018,117,110,23,8,1,0
2018,119,106,30,6,1,0
2018,120,103,9,20,1,0
2018,107,122,7,17,0,1
2018,107,117,24,10,0,1
2018,106,125,3,5,0,1
2018,122,117,19,18,1,0
2018,102,96,26,16,1,0
2018,99,90,15,19,1,0
2018,83,103,17,22,0,1
2018,112,117,11,21,0,1
2018,125,134,5,30,0,1
2018,112,123,2,13,0,1
2018,99,104,20,28,0,1
2018,120,129,1,4,0,1
2018,105,90,12,6,1,0
2018,125,105,29,27,1,0
2018,102,101,7,25,1,0
2018,117,104,26,24,1,0
2018,108,124,1,22,0,1
2018,120,118,10,16,1,0
2018,143,120,23,14,1,0
2018,103,87,8,16,1,0
2018,120,111,21,25,1,0
2018,130,120,18,13,1,0
2018,120,104,11,7,1,0
2018,99,112,5,17,0,1
2018,127,125,28,3,1,0
2018,99,90,12,4,1,0
2018,121,112,9,30,1,0
2018,107,104,6,20,1,0
